# Results for NC_013590 (FeHV1)
NC_013590-p0003.forward.frame1	PF07013	8.5e-23_1e-18	-
NC_013590-p0679.reverse.frame2	PF05072	4.5e-27_5.7e-23	-
NC_013590-p0697.reverse.frame2	PF00692	1.3e-23_4.1e-22	409
NC_013590-p0701.reverse.frame2	PF03121	1.9e-25_1.6e-21	-
NC_013590-p0702.reverse.frame2	PF01621	1.5e-108_2.1e-104	-
NC_013590-p0703.reverse.frame2	PF05459	1e-50_1.2e-46	8
NC_013590-p0735.reverse.frame3	PF06072	2.4e-16_3.2e-12	-
NC_013590-p0765.reverse.frame3	PF01677	1.1e-47_1.5e-43	-
NC_013590-p0776.reverse.frame3	PF02500	2e-110_2.7e-106	2
NC_013590-p0786.reverse.frame3	PF03252	1.4e-129_1.9e-125	2
NC_013590-p0793.reverse.frame3	PF01646	9.8e-49_1.1e-44	-
NC_013590-p0817.reverse.frame3	PF04541	1.3e-32_1.6e-28	50
NC_013590-p0852.reverse.frame3	PF02282	7.3e-23_1.2e-24	8
NC_013590-p0872.reverse.frame3	PF04537	3.8e-39_4.5e-35	-
END
