# Results for NC_017826 (EHV8)
NC_017826-p0006.forward.frame1	PF07013	5.2e-25_6e-21	-
NC_017826-p0491.forward.frame3	PF02718	5.4e-87_7.4e-83	52
NC_017826-p0497.forward.frame3	PF00747	0_0	2
NC_017826-p0498.forward.frame3	PF01366	2.3e-207_3.4e-203	-
NC_017826-p0518.forward.frame3	PF17488	1.8e-23_8.5e-20	22
NC_017826-p0518.forward.frame3	PF02489	6.2e-19_3.3e-15	23
NC_017826-p0532.forward.frame3	PF01802	1.3e-68_1.8e-64	-
NC_017826-p0535.forward.frame3	PF04559	2.7e-178_3.9e-174	-
NC_017826-p0542.forward.frame3	PF01771	1.4e-109_1.7e-105	6
NC_017826-p0550.forward.frame3	PF03324	8.5e-24_5.6e-20	-
NC_017826-p0588.forward.frame3	PF02479	6.7e-34_6.7e-30	-
NC_017826-p0604.forward.frame3	PF01537	1.2e-41_1.2e-37	18
NC_017826-p0609.forward.frame3	PF06072	1.6e-16_1.8e-12	-
NC_017826-p0624.forward.frame3	PF03585	9.4e-109_4.3e-105	-
NC_017826-p0624.forward.frame3	PF03584	4.7e-71_2.1e-67	-
NC_017826-p0645.reverse.frame1	PF02479	6.7e-34_6.7e-30	-
NC_017826-p0689.reverse.frame1	PF03585	9.4e-109_4.3e-105	-
NC_017826-p0689.reverse.frame1	PF03584	4.7e-71_2.1e-67	-
NC_017826-p0700.reverse.frame1	PF05259	6e-16_1.9e-12	4
NC_017826-p0700.reverse.frame1	PF12524	1.3e-10_5.5e-07	1
NC_017826-p0711.reverse.frame1	PF01677	1.3e-51_1.6e-47	-
NC_017826-p0759.reverse.frame1	PF01646	3.1e-51_4e-47	-
NC_017826-p0760.reverse.frame1	PF01499	2.2e-140_3.1e-136	1
NC_017826-p0798.reverse.frame1	PF04541	1.9e-33_2.3e-29	50
NC_017826-p0822.reverse.frame1	PF02867	8.7e-123_3.3e-119	154
NC_017826-p0822.reverse.frame1	PF00317	7.4e-14_2.7e-10	149
NC_017826-p0826.reverse.frame1	PF05072	1e-16_1.3e-12	-
NC_017826-p0827.reverse.frame1	PF02124	1.4e-53_2.4e-49	-
NC_017826-p0849.reverse.frame1	PF01621	4.9e-97_6.9e-93	-
NC_017826-p0898.reverse.frame2	PF02476	1.2e-39_1.2e-35	-
NC_017826-p0931.reverse.frame2	PF13639	1.1e-13_3.6e-10	31
NC_017826-p0931.reverse.frame2	PF13920	2.1e-13_2.9e-10	47
NC_017826-p0931.reverse.frame2	PF00097	1.1e-12_3.6e-09	6
NC_017826-p0931.reverse.frame2	PF12678	5.3e-11_7.9e-08	19
NC_017826-p0931.reverse.frame2	PF13923	2.6e-11_8.7e-08	29
NC_017826-p0936.reverse.frame2	PF03369	5.4e-74_7.1e-70	-
NC_017826-p0970.reverse.frame2	PF02500	1.9e-110_2.5e-106	2
NC_017826-p0974.reverse.frame2	PF02499	2.1e-156_2.8e-152	12
NC_017826-p1001.reverse.frame2	PF00716	2.2e-91_3.6e-87	59
NC_017826-p1018.reverse.frame2	PF00136	4.1e-171_2.9e-167	234
NC_017826-p1018.reverse.frame2	PF03104	2.4e-110_1.4e-106	264
NC_017826-p1027.reverse.frame2	PF03581	2.1e-30_2e-26	-
NC_017826-p1028.reverse.frame2	PF04496	1.3e-18_1.3e-14	-
NC_017826-p1064.reverse.frame2	PF00268	3.7e-61_4.9e-57	215
NC_017826-p1078.reverse.frame2	PF05473	5.1e-70_7.5e-66	-
NC_017826-p1101.reverse.frame2	PF17503	3.5e-122_5.2e-118	-
NC_017826-p1125.reverse.frame3	PF02053	1.8e-96_2.5e-92	-
NC_017826-p1149.reverse.frame3	PF06307	3.8e-109_5e-105	-
NC_017826-p1164.reverse.frame3	PF03585	2.2e-35_2.3e-31	-
NC_017826-p1174.reverse.frame3	PF03167	4.8e-25_4.4e-21	146
NC_017826-p1176.reverse.frame3	PF17502	1.3e-89_1.9e-85	-
NC_017826-p1186.reverse.frame3	PF01763	2.3e-191_3.2e-187	-
NC_017826-p1197.reverse.frame3	PF01528	3.8e-96_4.8e-92	-
NC_017826-p1231.reverse.frame3	PF03252	1.6e-128_2.3e-124	2
NC_017826-p1304.reverse.frame3	PF03327	3.8e-66_5.1e-62	-
NC_017826-p1313.reverse.frame3	PF02282	1.1e-20_8.9e-26	8
NC_017826-p1313.reverse.frame3	PF02282	9.8e-11_8.9e-26	8
NC_017826-p1336.reverse.frame3	PF00692	3.6e-26_1.1e-24	409
NC_017826-p1339.reverse.frame3	PF03121	1.6e-25_1.2e-21	-
NC_017826-p1341.reverse.frame3	PF05459	1.7e-47_1.8e-43	8
NC_017826-p1342.reverse.frame3	PF04537	1.9e-41_2.4e-37	-
END
