d001: PF03043 (Herpes_UL87)
d111: PF04559 (Herpes_UL17)
d112: PF13885 (Keratin_B2_2)
d113: PF00048 (IL8)
d114: PF01733 (Nucleoside_tran)
d115: PF01054 (MMTV_SAg)
d116: PF09241 (Herp-Cyclin)
d117: PF00186 (DHFR_1)
d118: PF06083 (IL17)
d119: PF09080 (K-cyclin_vir_C)
d120: PF00605 (IRF)
d121: PF10401 (IRF-3)
d122: PF00047 (ig)
d123: PF15286 (Bcl-2_3)
d124: PF00489 (IL6)
d125: PF02960 (K1)
d126: PF07188 (KSHV_K8)
d127: PF06126 (Herpes_LAMP2)
d128: PF11049 (KSHV_K1)
d129: PF07654 (C1-set)
d130: PF11666 (DUF2933)
d131: PF00129 (MHC_I)
d132: PF01366 (PRTP)
d133: PF07397 (DUF1502)
d134: PF09213 (M3)
d135: PF00619 (CARD)
d136: PF02180 (BH4)
d137: PF00010 (HLH)
d138: PF09588 (YqaJ)
d139: PF10320 (7TM_GPCR_Srsx)
d140: PF09838 (DUF2065)
d141: PF00805 (Pentapeptide)
d142: PF06284 (Cytomega_UL84)
d143: PF07982 (Herpes_UL74)
d144: PF05613 (Herpes_U15)
d145: PF17039 (Glyco_tran_10_N)
d146: PF00852 (Glyco_transf_10)
d147: PF01762 (Galactosyl_T)
d148: PF02689 (Herpes_Helicase)
d149: PF07402 (Herpes_U26)
d150: PF01027 (Bax1-I)
d151: PF07340 (Herpes_IE1)
d152: PF17638 (UL42)
d153: PF17604 (DUF5500)
d154: PF16758 (UL141)
d155: PF11624 (M157)
d156: PF00136 (DNA_pol_B)
d157: PF17636 (UL21a)
d158: PF17591 (UL41A)
d159: PF11668 (Gp_UL130)
d160: PF17582 (UL20)
d161: PF05963 (Cytomega_US3)
d162: PF08001 (CMV_US)
d163: PF10838 (DUF2677)
d164: PF11359 (gpUL132)
d165: PF01057 (Parvo_NS1)
d166: PF05459 (Herpes_UL69)
d167: PF00020 (TNFR_c6)
d168: PF03098 (An_peroxidase)
d169: PF17617 (US10)
d170: PF08196 (UL2)
d171: PF17616 (US6)
d172: PF17622 (UL16)
d173: PF10682 (UL40)
d174: PF17624 (US30)
d175: PF17087 (HHV-5_US34A)
d176: PF17640 (UL17)
d177: PF12507 (HCMV_UL139)
d178: PF17609 (HCMV_UL124)
d179: PF06084 (Cytomega_TRL10)
d180: PF10323 (7TM_GPCR_Srv)
d181: PF11770 (GAPT)
d182: PF08983 (DUF1856)
d183: PF12435 (DUF3678)
d184: PF12522 (UL73_N)
d185: PF11088 (RL11D)
d186: PF17494 (DUF5429)
d187: PF05984 (Cytomega_UL20A)
d188: PF12154 (HCMVantigenic_N)
d189: PF02957 (TT_ORF2)
d190: PF00008 (EGF)
d191: PF02440 (Adeno_E3_CR1)
d192: PF00111 (Fer2)
d193: PF00747 (Viral_DNA_bp)
d194: PF12216 (m04gp34like)
d195: PF12721 (RHIM)
d196: PF05467 (Herpes_U47)
d197: PF03753 (HHV6-IE)
d198: PF05906 (DUF865)
d199: PF02867 (Ribonuc_red_lgC)
d200: PF17465 (U83)
d201: PF08724 (Rep_N)
d202: PF17205 (PSI_integrin)
d203: PF16086 (DUF4816)
d204: PF00519 (PPV_E1_C)
d205: PF07679 (I-set)
d206: PF03162 (Y_phosphatase2)
d207: PF02489 (Herpes_glycop_H)
d208: PF01163 (RIO1)
d209: PF02500 (DNA_pack_N)
d210: PF02479 (Herpes_IE68)
d211: PF02282 (Herpes_UL42)
d212: PF06072 (Herpes_US9)
d213: PF13923 (zf-C3HC4_2)
d214: PF04537 (Herpes_UL55)
d215: PF02476 (US2)
d216: PF03585 (Herpes_ICP4_C)
d217: PF13639 (zf-RING_2)
d218: PF00097 (zf-C3HC4)
d219: PF04496 (Herpes_UL35)
d220: PF03324 (Herpes_HEPA)
d221: PF04541 (Herpes_U34)
d222: PF07013 (DUF1314)
d223: PF05072 (Herpes_UL43)
d224: PF12524 (GlyL_C)
d225: PF11590 (DNAPolymera_Pol)
d226: PF03554 (Herpes_UL73)
d227: PF03044 (Herpes_UL16)
d228: PF03327 (Herpes_VP19C)
d229: PF07153 (Marek_SORF3)
d230: PF00716 (Peptidase_S21)
d231: PF05955 (Herpes_gp2)
d232: PF07420 (DUF1509)
d233: PF13920 (zf-C3HC4_3)
d234: PF12149 (HSV_VP16_C)
d235: PF13445 (zf-RING_UBOX)
d236: PF04843 (Herpes_teg_N)
d237: PF06307 (Herpes_IR6)
d238: PF12874 (zf-met)
d239: PF00151 (Lipase)
d240: PF04846 (Herpes_pp38)
d241: PF03581 (Herpes_UL33)
d242: PF14531 (Kinase-like)
d243: PF03131 (bZIP_Maf)
d244: PF00170 (bZIP_1)
d245: PF17502 (DUF5434)
d246: PF17503 (DUF5435)
d247: PF12815 (CTD)
d248: PF00270 (DEAD)
d249: PF12678 (zf-rbx1)
d250: PF11278 (DUF3079)
d251: PF10488 (PP1c_bdg)
d252: PF03229 (Alpha_GJ)
d253: PF04534 (Herpes_UL56)
d254: PF03122 (Herpes_MCP)
d255: PF05363 (Herpes_US12)
d256: PF16852 (HHV-1_VABD)
d257: PF04886 (PT)
d258: PF13488 (Gly-zipper_Omp)
d259: PF00132 (Hexapep)
